,Population,% < 18,% 65 and over,% African American,% American Indian/Alaskan Native,% Asian,% Hispanic,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,% Fair/Poor,% Smokers,% Obese,% Excessive Drinking,% Physically Inactive,Chlamydia Rate,% Frequent Physical Distress,% Frequent Mental Distress,% Diabetic,Drug Overdose Mortality Rate,% Insufficient Sleep,% Uninsured,PCP Rate,MHP Rate,% Unemployed,% Children in Poverty,Income Ratio,Association Rate,Violent Crime Rate,% Severe Housing Problems,% Limited Access,Household Income,% Free or Reduced Lunch,Food Environment Index,% With Access,% Food Insecure
47,96774,25.147250295,17.30836795,2.573005146,1.1098022196,0.7057680782,14.747762829,79.824126315,4.7973671205,50.692334718,53.268687042,24.148367286,22.98773657,14.754491638,37.2,231.3,15.914199617,17.845709406,11.7,149.8,16.988465179,37.898114187,14.433461235,57.22669,259.36719,2.463422933,21.5,4.5988439893,10.404852823,286.26908241,14.382769587,5.187505411,48913.0,62.311999122,7.2,54.418989669,16.2
48,413210,23.315505433,16.636093028,35.935238741,0.9389898599,2.0713438687,3.0113017594,56.520171341,0.7195434621,52.475980736,20.020242523,21.208191492,20.786278172,17.28470609,28.7,723.0,14.387223255,16.501886469,14.7,536.8,12.732468278,40.50653767,13.119269295,66.22244,100.19119,3.714299312,26.4,5.302269488,11.359324434,548.14738002,15.946552229,10.265925301,49492.0,68.156190922,6.6,70.217582907,16.8
49,20733,21.091978971,21.149857715,40.732166112,1.3408575701,0.4630299523,1.6736603482,54.106979212,1.692753756036887,52.399556263,79.044563898,28.474496766,25.511093512,12.60490059,36.0,567.4,17.658719703,19.034248017,22.6,178.5,12.60430763058259,42.738544344,13.680072573,42.72084,91.64134,4.8574157457,31.4,8.2492818385,12.816252907,492.30914187,11.82205972,12.839526662,40005.0,69.98509687,5.4,51.543263395,21.9
50,226486,23.351553738,15.577563293,58.84822903,0.3377692219,3.2779068022,3.6841129253,32.699151382,1.5397339257,53.024027975,10.491230059,23.317220708,19.863326225,12.581089055,29.1,1168.8,14.504366169,15.995986824,16.2,785.1,6.3338218723,42.847174081,12.178904516,101.87675,160.71634,3.0819554345,23.3,5.284100917,14.882863888,531.7145579,17.939292676,14.572141064,52711.0,70.412642669,6.0,73.784786561,17.8
51,119679,22.848620059,17.831866911,12.697298607,1.0795544749,0.6843305843,8.7450597014,75.056609764,2.151171094,50.795043408,38.597372165,20.400446137,20.801049595,13.709938275,26.9,355.2,13.913106977,16.453694624,12.1,146.3,15.940221373,36.414015912,13.236464351,52.06190000000001,147.06005,2.5741792658,18.8,4.5089003343,12.091796891,180.73324863,12.907090731,4.0842018116,54355.0,51.205551616,7.5,59.229224203,14.9
52,8923,20.923456237,20.116552729,67.566961784,0.3250028017,0.6275916172,1.6138070156,29.149389219,1.692753756036887,53.468564384,100.0,34.619403741,27.260652574,11.2651998,35.9,685.3,20.484900432,20.621224905,20.5,373.1,12.60430763058259,44.970165838,11.71624714,32.82276,44.82797,5.2153530618,46.2,5.1688490696,9.8468271335,381.4147018,17.105263158,4.8851175077,29572.0,90.923196276,5.1,52.724010953,27.0
53,19930,19.387857501,19.498243853,39.563472153,0.2558956347,0.3211239338,5.2383341696,53.59759157,1.6783070989,49.754139488,100.0,27.274875631,23.634625449,12.848475036,26.3,594.8,16.552599803,18.018070321,19.0,285.1,16.654453401,41.767206747,12.223071047,40.12439,20.07025,3.4835289663,34.0,5.8106500692,10.031096399,166.21551028,12.664041995,0.8921588404,40249.0,69.255150555,6.8,5.8847361491,19.7
54,33114,19.010086368,15.192969741,37.464516519,0.7006100139,1.8723198647,2.4219363411,55.80117171,2.0312946329,51.926677538,51.679382352,24.693903371,21.484227756,13.957985107,28.2,826.6,15.735502928,17.298636396,14.4,379.6,12.60430763058259,41.254338602,14.02607362,44.9937,60.39741,3.2667876588,29.8,6.6460156785,10.1985722,564.40203486,15.506715507,6.3043445736,41271.0,68.352244697,6.5,51.41797623,18.8
55,22722,21.111697914,20.865240736,19.1004313,0.4709092509,0.4577061878,3.0014963472,75.393891383,0.2766057196,51.245488953,81.342469341,24.060485357,23.097148723,14.26492381,33.7,577.9,15.634656195,17.842051586,17.9,72.7,19.084809959,38.435978695,13.121687155,22.0022,22.00511,3.0293598921,28.4,4.8172158548,9.6809680968,196.49835515,13.310772702,6.8154830831,42922.0,62.9518891,7.1,40.666870336,15.6
56,57961,24.131743759,14.818584911,44.578250893,0.7073721985,0.8833525992,5.8280567968,45.827366678,1.2454920623,52.093649178,35.4089939,24.688660184,22.306234176,13.794243508,32.4,606.5,15.60750137,17.529567315,16.6,402.1,18.519911799,42.690411393,11.978385486,25.96009,46.58305,2.9209909608,25.4,5.512642347,9.5186999187,504.99623939,17.188188629,5.5467032283,43670.0,70.080067425,6.7,64.349254915,18.2
